SuperBuiltUp Area,Area,Carpet Area,Price,FloorNumber,Parking,Furnishing,Location,Flooring,Bathrooms,Bedrooms,Balconies,Property
,500,,36,1,1,,Koperkhairane,Spartex,1,1,0,Residential Apartment
699,520,420,22,3,1,Unfurnished,Neral,Vitrified,2,2,3,Residential Apartment
545,,,28.5,1,,Unfurnished,Nalasopara (West),Vitrified,1,1,0,Residential Apartment
1600,1400,900,121,10,1,Unfurnished,Ulwe,Vitrified,3,3,3,Residential Apartment
625,600,400,135,5,,Semifurnished,Powai,Marble,1,1,0,Residential Apartment
1200,900,800,36,2,,Semifurnished,Mumbra,,2,2,0,Residential Apartment
1520,,1041,177,6,1,Unfurnished,Manpada,Vitrified,3,3,0,Residential Apartment
850,800,700,85,2,1,Semifurnished,Sector 20 Kharghar,Vitrified,2,2,2,Residential Apartment
825,,510,32.6,7,,Semifurnished,Virar West,Vitrified,2,2,3,Residential Apartment
608,,430,210,1,1,,Patel Park,,1,1,0,Residential Apartment
1717,1617,1041,486,40,1,Semifurnished,Mahalaxmi,Vitrified,3,3,3,Residential Apartment
1012,850,708,115,1,1,Semifurnished,Sector 12 Vashi,Vitrified,2,2,3,Residential Apartment
1655,1400,900,142,12,1,Unfurnished,Sector 23 Ulwe,Vitrified,3,3,3,Residential Apartment
675,600,440,88,3,1,,Borivali East Nency Road,Spartex,1,1,0,Residential Apartment
999,,727,97,13,2,Unfurnished,Hiranandani Estate,Vitrified,2,2,2,Residential Apartment
1180,1100,750,96,7,1,Unfurnished,Sector 23 Ulwe,Vitrified,2,2,2,Residential Apartment
450,,,23.4,2,1,,Nilje Gaon,Marble,1,1,1,Residential Apartment
1341,1241,1141,107,14,1,Semifurnished,Mira Road East,Vitrified,3,3,3,Residential Apartment
1241,,795,106,14,2,Unfurnished,Hiranandani Estate,Vitrified,3,2,2,Residential Apartment
,1155,,127,4,1,Unfurnished,Sector-50 Seawoods,Vitrified,2,2,3,Residential Apartment
635,,,55.8,3,,Unfurnished,Sector-5 Kharghar,Vitrified,1,1,1,Residential Apartment
,440,339,19,1,1,Unfurnished,NERE NEW PANVEL,Vitrified,1,1,0,Residential Apartment
980,,630,210,11,2,Unfurnished,Malad (East),Marble,2,2,1,Residential Apartment
550,545,520,14.5,2,1,Unfurnished,Rajajipath dombivli,Spartex,1,1,0,Residential Apartment
1145,1100,700,100,4,1,Semifurnished,Sector 21 Kharghar,Vitrified,2,2,1,Residential Apartment
1280,1200,750,74.5,11,1,Unfurnished,Sector 19 Ulwe,Vitrified,2,2,2,Residential Apartment
,1125,,124,4,1,Unfurnished,Seawoods,Vitrified,2,2,3,Residential Apartment
874,800,700,70,8,1,Semifurnished,Sector 30 Kharghar,Vitrified,2,2,2,Residential Apartment
1280,1200,750,77,13,1,Unfurnished,Sector 19 Ulwe,Vitrified,2,2,2,Residential Apartment
1125,875,787,225,11,1,Semifurnished,Andheri (East),Marble,2,2,2,Residential Apartment
1200,1050,721,88,7,1,Unfurnished,Sector-18 Ulwe,Vitrified,2,2,3,Residential Apartment
1550,1500,1100,570,12,2,,Hiranandani Gardens - Powai,Marble,3,3,0,Residential Apartment
,1035,715,157,14,1,Semifurnished,Kanjur Marg (East),Vitrified,2,2,2,Residential Apartment
810,700,500,37,6,1,Semifurnished,Yashavant Nagar,Vitrified,2,2,0,Residential Apartment
3850,3800,3000,290,2,1,,Sector 15 Belapur,Vitrified,5,5,3,Residential Apartment
800,,480,32.41,6,,Semifurnished,Virar West,Vitrified,2,2,3,Residential Apartment
,774,,44,4,1,Unfurnished,Nilje Gaon,Vitrified,2,2,1,Residential Apartment
,1700,,325,3,1,Unfurnished,Sector-58 Seawoods,Marble,2,2,1,Residential Apartment
1050,1020,680,45,2,2,Semifurnished,Hendre Pada,Vitrified,2,2,1,Residential Apartment
645,,,27,3,1,Semifurnished,Panbai Nagar,Vitrified,1,1,1,Residential Apartment
,1475,,110,6,1,Unfurnished,Sector-8 Ulwe,Vitrified,3,3,3,Residential Apartment
2490,1790,1290,725,31,2,Furnished,Hiranandani Gardens - Powai,Marble,3,3,1,Residential Apartment
,450,350,75,,1,,Goregaon (East),,1,1,0,Residential Apartment
1335,,,119,10,1,Unfurnished,Sector 19 Kharghar,Vitrified,2,2,2,Residential Apartment
1350,,,260,4,1,Unfurnished,Odhav Nagar,,3,3,0,Residential Apartment
750,,450,50,5,1,Unfurnished,Mira Road,Vitrified,2,1,3,Residential Apartment
620,600,420,50,2,1,Unfurnished,Sector 20 Kharghar,Vitrified,1,1,2,Residential Apartment
560,,,27,6,1,Semifurnished,Residential Colony,,1,1,2,Residential Apartment
950,,680,48,5,1,,"k Road, Near D Mart",Granite,2,2,3,Residential Apartment
,1245,,164,14,1,,Lokhandwala township,,3,3,0,Residential Apartment
1173,1100,750,89,7,1,,Ulwe,Vitrified,2,2,2,Residential Apartment
625,541,365,46.5,6,,,Kamothe,,1,1,1,Residential Apartment
900,850,630,77,2,1,,Thane West,Vitrified,2,2,0,Residential Apartment
685,650,445,30.83,10,1,Unfurnished,Dronagiri,Vitrified,1,1,2,Residential Apartment
1415,,913,355,19,2,Unfurnished,Andheri (West),Marble,2,2,2,Residential Apartment
950,,650,135,1,1,Semifurnished,Malad (West),Vitrified,2,2,0,Residential Apartment
1850,1800,1347,750,35,1,Unfurnished,Worli,Vitrified,3,3,3,Residential Apartment
2730,2630,1655,869,7,1,Semifurnished,Sion (East),Vitrified,4,4,3,Residential Apartment
2040,2039,1275,425,25,2,Unfurnished,Andheri (West),Marble,4,3,2,Residential Apartment
600,590,580,70,9,1,Unfurnished,Ghatkopar West,,1,1,0,Residential Apartment
1280,1200,750,72,7,1,Unfurnished,Sector 19 Ulwe,Vitrified,2,2,2,Residential Apartment
,1050,,75,4,1,,Sector-8 Ulwe,,2,2,3,Residential Apartment
660,612,454,75,2,1,Semifurnished,Dhokali,Vitrified,2,1,1,Residential Apartment
1305,1250,884,434,30,1,Unfurnished,Worli,Vitrified,2,2,2,Residential Apartment
1627,1400,900,120,12,1,Unfurnished,Ulwe,Vitrified,3,3,3,Residential Apartment
1627,1400,900,124,11,1,Unfurnished,Ulwe,Vitrified,3,3,3,Residential Apartment
1080,,,103,4,1,Unfurnished,Kasar vadavali,Vitrified,2,1,3,Residential Apartment
536,,440,30,7,2,,Talepada,Ceramic,2,1,0,Residential Apartment
,600,,43,,1,,"Kopar road, dombivli (west)",,1,1,0,Residential Apartment
900,875,800,47,2,1,Unfurnished,Kalyan (West),Vitrified,2,2,2,Residential Apartment
950,,,112,10,1,Unfurnished,Pokhran-2,Vitrified,2,2,3,Residential Apartment
1105,1100,850,120,9,1,Semifurnished,Jeejamata Nagar,Vitrified,2,2,3,Residential Apartment
2200,2100,,400,13,2,,Chandivali,Granite,3,3,2,Residential Apartment
1173,1100,750,88,5,1,Unfurnished,Ulwe,Vitrified,2,2,2,Residential Apartment
1050,,,98,5,1,Unfurnished,Sector-5 Kharghar,Vitrified,2,2,1,Residential Apartment
1000,,,89,2,1,Unfurnished,Kopara,Vitrified,2,2,3,Residential Apartment
645,600,450,43.75,5,1,Unfurnished,Sector 23 Ulwe,Vitrified,1,1,1,Residential Apartment
645,600,450,42,4,1,Unfurnished,Sector 23 Ulwe,Vitrified,1,1,1,Residential Apartment
540,,,52,5,1,Unfurnished,Thane West,Vitrified,1,1,2,Residential Apartment
650,,480,52,4,,Semifurnished,Bevarly Park,Vitrified,1,1,3,Residential Apartment
1173,1100,750,93.5,8,1,Unfurnished,Ulwe,Vitrified,2,2,2,Residential Apartment
650,606,505,70,3,,Unfurnished,Koperkhairane,,1,1,1,Residential Apartment
741,,450,103,11,1,Semifurnished,Charkop,Vitrified,2,1,1,Residential Apartment
810,800,700,85,6,1,Unfurnished,Sector 20 Kharghar,Vitrified,2,2,2,Residential Apartment
,,670,170,3,1,,Shimpoli,,1,2,0,Residential Apartment
1627,1400,750,125,11,1,Furnished,Ulwe,Vitrified,3,3,3,Residential Apartment
